STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot
MN,27,Hennepin County,053,27053,2015,1223.149,2.47,0.33,2.80,--,2.24,3.46,0.00,0.00,3.46,0.90,0.12,1.02,0.82,0.15,0.00,0.00,0.15
MN,27,Houston County,055,27055,2015,18.773,0.05,0.00,0.05,--,0.04,0.03,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.02
MN,27,Hubbard County,057,27057,2015,20.655,12.24,0.04,12.28,--,9.82,25.14,0.00,0.00,25.14,12.15,0.04,12.19,9.75,24.84,0.00,0.00,24.84
MN,27,Isanti County,059,27059,2015,38.429,0.51,0.00,0.51,--,0.41,2.30,0.00,0.00,2.30,0.47,0.00,0.47,0.38,2.19,0.00,0.00,2.19
MN,27,Itasca County,061,27061,2015,45.435,0.04,0.17,0.21,--,0.17,0.54,0.00,0.01,0.55,0.00,0.05,0.05,0.04,0.09,0.00,0.01,0.10
MN,27,Jackson County,063,27063,2015,10.079,0.03,0.04,0.07,--,0.05,0.20,0.00,0.00,0.20,0.02,0.01,0.03,0.02,0.11,0.00,0.00,0.11
MN,27,Kanabec County,065,27065,2015,15.837,0.01,0.00,0.01,--,0.01,0.06,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MN,27,Kandiyohi County,067,27067,2015,42.542,4.28,0.11,4.39,--,3.51,14.90,0.00,0.00,14.90,4.14,0.00,4.14,3.31,14.38,0.00,0.00,14.38
MN,27,Kittson County,069,27069,2015,4.424,0.34,0.83,1.17,--,0.82,3.55,0.00,0.00,3.55,0.34,0.81,1.15,0.80,3.51,0.00,0.00,3.51
MN,27,Koochiching County,071,27071,2015,12.841,0.00,0.56,0.56,--,0.39,0.07,0.00,0.82,0.89,0.00,0.55,0.55,0.38,0.00,0.00,0.82,0.82
MN,27,Lac qui Parle County,073,27073,2015,6.856,1.34,0.10,1.44,--,1.15,4.19,0.00,0.00,4.19,1.32,0.06,1.38,1.10,4.07,0.00,0.00,4.07
MN,27,Lake County,075,27075,2015,10.631,0.00,0.01,0.01,--,0.01,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MN,27,Lake of the Woods County,077,27077,2015,3.923,0.00,0.77,0.77,--,0.54,0.06,0.00,1.14,1.20,0.00,0.75,0.75,0.52,0.00,0.00,1.14,1.14
MN,27,Le Sueur County,079,27079,2015,27.663,0.46,0.01,0.47,--,0.38,1.37,0.00,0.00,1.37,0.37,0.00,0.37,0.30,1.25,0.00,0.00,1.25
MN,27,Lincoln County,081,27081,2015,5.771,0.11,0.04,0.15,--,0.12,0.76,0.00,0.00,0.76,0.10,0.00,0.10,0.08,0.72,0.00,0.00,0.72
MN,27,Lyon County,083,27083,2015,25.673,0.00,0.19,0.19,--,0.15,0.38,0.00,0.00,0.38,0.00,0.03,0.03,0.02,0.13,0.00,0.00,0.13
MN,27,McLeod County,085,27085,2015,35.932,0.06,0.04,0.10,--,0.08,0.21,0.00,0.00,0.21,0.01,0.00,0.01,0.01,0.04,0.00,0.00,0.04
MN,27,Mahnomen County,087,27087,2015,5.457,0.07,0.02,0.09,--,0.08,0.12,0.00,0.00,0.12,0.07,0.00,0.07,0.06,0.10,0.00,0.00,0.10
MN,27,Marshall County,089,27089,2015,9.423,0.05,0.01,0.06,--,0.05,0.19,0.00,0.00,0.19,0.05,0.00,0.05,0.04,0.16,0.00,0.00,0.16
MN,27,Martin County,091,27091,2015,20.022,0.11,0.00,0.11,--,0.09,0.21,0.00,0.00,0.21,0.04,0.00,0.04,0.03,0.12,0.00,0.00,0.12
MN,27,Meeker County,093,27093,2015,23.102,2.38,0.05,2.43,--,1.94,9.73,0.00,0.00,9.73,2.38,0.01,2.39,1.91,9.66,0.00,0.00,9.66
MN,27,Mille Lacs County,095,27095,2015,25.788,0.18,0.02,0.20,--,0.16,0.87,0.00,0.00,0.87,0.10,0.00,0.10,0.08,0.49,0.00,0.00,0.49
MN,27,Morrison County,097,27097,2015,32.775,12.11,0.15,12.26,--,9.81,33.93,0.00,0.00,33.93,11.89,0.11,12.00,9.60,33.66,0.00,0.00,33.66
MN,27,Mower County,099,27099,2015,39.116,0.99,0.01,1.00,--,0.80,7.87,0.00,0.00,7.87,0.95,0.00,0.95,0.76,7.73,0.00,0.00,7.73
MN,27,Murray County,101,27101,2015,8.413,0.00,0.03,0.03,--,0.02,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MN,27,Nicollet County,103,27103,2015,33.347,0.11,0.03,0.14,--,0.11,0.60,0.00,0.00,0.60,0.10,0.00,0.10,0.08,0.48,0.00,0.00,0.48
MN,27,Nobles County,105,27105,2015,21.770,0.03,0.14,0.17,--,0.14,0.22,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MN,27,Norman County,107,27107,2015,6.678,0.27,0.01,0.28,--,0.22,1.76,0.00,0.00,1.76,0.27,0.01,0.28,0.22,1.76,0.00,0.00,1.76
MN,27,Olmsted County,109,27109,2015,151.436,0.14,0.09,0.23,--,0.18,0.43,0.00,0.00,0.43,0.03,0.00,0.03,0.02,0.00,0.00,0.00,0.00
MN,27,Otter Tail County,111,27111,2015,57.716,48.94,0.75,49.69,--,39.76,94.61,0.00,0.00,94.61,48.71,0.66,49.37,39.50,94.01,0.00,0.00,94.01
MN,27,Pennington County,113,27113,2015,14.219,0.00,0.47,0.47,--,0.33,0.10,0.00,3.08,3.18,0.00,0.43,0.43,0.30,0.00,0.00,3.08,3.08
MN,27,Pine County,115,27115,2015,29.069,0.10,0.03,0.13,--,0.11,0.33,0.00,0.00,0.33,0.02,0.00,0.02,0.02,0.08,0.00,0.00,0.08
MN,27,Pipestone County,117,27117,2015,9.271,0.24,0.05,0.29,--,0.23,3.50,0.00,0.00,3.50,0.24,0.04,0.28,0.22,3.47,0.00,0.00,3.47
MN,27,Polk County,119,27119,2015,31.533,0.56,5.83,6.39,--,4.49,1.98,0.00,2.66,4.64,0.53,5.75,6.28,4.40,1.74,0.00,2.66,4.40
MN,27,Pope County,121,27121,2015,11.041,20.26,0.05,20.31,--,16.25,54.98,0.00,0.00,54.98,20.07,0.05,20.12,16.10,54.81,0.00,0.00,54.81
MN,27,Ramsey County,123,27123,2015,538.133,0.79,0.12,0.91,--,0.73,1.23,0.00,0.00,1.23,0.39,0.00,0.39,0.31,0.23,0.00,0.00,0.23
MN,27,Red Lake County,125,27125,2015,4.055,0.20,1.12,1.32,--,0.93,0.21,0.00,0.64,0.85,0.20,1.10,1.30,0.91,0.17,0.00,0.64,0.81
MN,27,Redwood County,127,27127,2015,15.471,0.09,0.12,0.21,--,0.17,0.31,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.03
MN,27,Renville County,129,27129,2015,14.892,0.14,0.12,0.26,--,0.21,0.74,0.00,0.00,0.74,0.09,0.07,0.16,0.13,0.40,0.00,0.00,0.40
MN,27,Rice County,131,27131,2015,65.400,0.56,0.12,0.68,--,0.54,2.22,0.00,0.00,2.22,0.39,0.00,0.39,0.31,1.86,0.00,0.00,1.86
MN,27,Rock County,133,27133,2015,9.600,0.07,0.05,0.12,--,0.10,0.96,0.00,0.00,0.96,0.05,0.05,0.10,0.08,0.91,0.00,0.00,0.91
MN,27,Roseau County,135,27135,2015,15.770,0.00,0.02,0.02,--,0.02,0.06,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MN,27,St. Louis County,137,27137,2015,200.431,0.03,0.20,0.23,--,0.18,0.81,0.00,0.00,0.81,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.12
MN,27,Scott County,139,27139,2015,141.660,0.29,0.11,0.40,--,0.32,0.42,0.00,0.00,0.42,0.07,0.00,0.07,0.06,0.13,0.00,0.00,0.13
MN,27,Sherburne County,141,27141,2015,91.705,18.28,0.08,18.36,--,14.69,42.18,0.00,0.00,42.18,17.84,0.08,17.92,14.34,42.15,0.00,0.00,42.15
MN,27,Sibley County,143,27143,2015,14.875,0.05,0.00,0.05,--,0.04,0.56,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MN,27,Stearns County,145,27145,2015,154.708,16.99,0.62,17.61,--,14.09,55.31,0.00,0.00,55.31,16.48,0.51,16.99,13.59,54.38,0.00,0.00,54.38
MN,27,Steele County,147,27147,2015,36.755,0.26,0.02,0.28,--,0.23,0.90,0.00,0.00,0.90,0.16,0.00,0.16,0.13,0.82,0.00,0.00,0.82
MN,27,Stevens County,149,27149,2015,9.796,4.93,0.08,5.01,--,4.01,20.11,0.00,0.00,20.11,4.91,0.08,4.99,3.99,20.06,0.00,0.00,20.06
MN,27,Swift County,151,27151,2015,9.340,13.88,0.06,13.94,--,11.15,40.41,0.00,0.00,40.41,13.74,0.06,13.80,11.04,40.29,0.00,0.00,40.29
MN,27,Todd County,153,27153,2015,24.257,7.20,0.26,7.46,--,5.97,20.58,0.00,0.00,20.58,7.10,0.26,7.36,5.89,20.56,0.00,0.00,20.56
MN,27,Traverse County,155,27155,2015,3.401,0.00,0.00,0.00,--,0.00,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MN,27,Wabasha County,157,27157,2015,21.239,0.39,0.02,0.41,--,0.32,1.25,0.00,0.00,1.25,0.33,0.00,0.33,0.26,1.12,0.00,0.00,1.12
MN,27,Wadena County,159,27159,2015,13.875,12.63,1.62,14.25,--,11.40,29.69,0.00,0.00,29.69,12.33,1.57,13.90,11.12,29.50,0.00,0.00,29.50
MN,27,Waseca County,161,27161,2015,18.989,0.05,0.00,0.05,--,0.04,0.08,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MN,27,Washington County,163,27163,2015,251.597,1.51,0.46,1.97,--,1.57,4.28,0.00,0.00,4.28,0.86,0.22,1.08,0.86,2.58,0.00,0.00,2.58
MN,27,Watonwan County,165,27165,2015,10.952,2.16,0.15,2.31,--,1.85,6.04,0.00,0.00,6.04,2.15,0.15,2.30,1.84,5.89,0.00,0.00,5.89
MN,27,Wilkin County,167,27167,2015,6.396,0.27,0.13,0.40,--,0.32,1.48,0.00,0.00,1.48,0.27,0.09,0.36,0.29,1.44,0.00,0.00,1.44
MN,27,Winona County,169,27169,2015,50.885,0.14,0.00,0.14,--,0.11,0.48,0.00,0.00,0.48,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00
MN,27,Wright County,171,27171,2015,131.311,1.72,0.13,1.85,--,1.48,6.19,0.00,0.00,6.19,1.33,0.02,1.35,1.08,5.30,0.00,0.00,5.30
MN,27,Yellow Medicine County,173,27173,2015,9.875,0.08,0.03,0.11,--,0.08,0.46,0.00,0.00,0.46,0.08,0.00,0.08,0.06,0.38,0.00,0.00,0.38
MS,28,Adams County,001,28001,2015,31.254,0.00,0.04,0.04,--,0.03,0.00,0.00,0.04,0.04,--,--,--,--,--,--,--,--
MS,28,Alcorn County,003,28003,2015,37.388,0.00,0.16,0.16,--,0.13,0.18,0.00,0.00,0.18,--,--,--,--,--,--,--,--
MS,28,Amite County,005,28005,2015,12.574,0.02,0.05,0.07,--,0.05,0.02,0.00,0.05,0.07,--,--,--,--,--,--,--,--
MS,28,Attala County,007,28007,2015,19.043,0.32,0.03,0.35,--,0.28,0.36,0.00,0.02,0.38,--,--,--,--,--,--,--,--
MS,28,Benton County,009,28009,2015,8.182,0.05,0.80,0.85,--,0.68,0.92,0.00,0.00,0.92,--,--,--,--,--,--,--,--
MS,28,Bolivar County,011,28011,2015,33.322,318.90,16.79,335.69,--,253.34,23.25,0.00,224.53,247.78,--,--,--,--,--,--,--,--
MS,28,Calhoun County,013,28013,2015,14.717,0.02,1.11,1.13,--,0.90,1.22,0.00,0.00,1.22,--,--,--,--,--,--,--,--
MS,28,Carroll County,015,28015,2015,10.243,10.88,0.56,11.44,--,8.90,6.91,0.00,5.42,12.33,--,--,--,--,--,--,--,--
MS,28,Chickasaw County,017,28017,2015,17.328,0.03,2.71,2.74,--,2.19,2.95,0.00,0.00,2.95,--,--,--,--,--,--,--,--
MS,28,Choctaw County,019,28019,2015,8.299,0.44,0.44,0.88,--,0.70,0.95,0.00,0.00,0.95,--,--,--,--,--,--,--,--
MS,28,Claiborne County,021,28021,2015,9.150,0.50,1.49,1.99,--,1.59,2.14,0.00,0.00,2.14,--,--,--,--,--,--,--,--
MS,28,Clarke County,023,28023,2015,16.006,0.08,0.27,0.35,--,0.28,0.38,0.00,0.00,0.38,--,--,--,--,--,--,--,--
MS,28,Clay County,025,28025,2015,20.048,0.19,0.57,0.76,--,0.61,0.82,0.00,0.00,0.82,--,--,--,--,--,--,--,--
MS,28,Coahoma County,027,28027,2015,24.620,117.72,6.20,123.92,--,94.62,37.41,0.00,100.61,138.02,--,--,--,--,--,--,--,--
MS,28,Copiah County,029,28029,2015,28.773,0.04,0.13,0.17,--,0.14,0.18,0.00,0.00,0.18,--,--,--,--,--,--,--,--
MS,28,Covington County,031,28031,2015,19.543,0.14,0.41,0.55,--,0.44,0.60,0.00,0.00,0.60,--,--,--,--,--,--,--,--
MS,28,DeSoto County,033,28033,2015,173.323,9.74,0.52,10.26,--,7.86,5.40,0.00,11.82,17.22,--,--,--,--,--,--,--,--
MS,28,Forrest County,035,28035,2015,75.944,0.20,0.59,0.79,--,0.63,0.84,0.00,0.00,0.84,--,--,--,--,--,--,--,--
MS,28,Franklin County,037,28037,2015,7.743,0.01,0.02,0.03,--,0.02,0.03,0.00,0.00,0.03,--,--,--,--,--,--,--,--
MS,28,George County,039,28039,2015,23.373,0.11,0.34,0.45,--,0.36,0.49,0.00,0.00,0.49,--,--,--,--,--,--,--,--
MS,28,Greene County,041,28041,2015,13.522,0.05,0.15,0.20,--,0.16,0.22,0.00,0.00,0.22,--,--,--,--,--,--,--,--
MS,28,Grenada County,043,28043,2015,21.578,1.00,0.05,1.05,--,0.80,0.19,0.00,0.95,1.14,--,--,--,--,--,--,--,--
MS,28,Hancock County,045,28045,2015,46.420,0.02,0.03,0.05,--,0.04,0.06,0.00,0.00,0.06,--,--,--,--,--,--,--,--
MS,28,Harrison County,047,28047,2015,201.410,0.00,0.06,0.06,--,0.05,0.07,0.00,0.00,0.07,--,--,--,--,--,--,--,--
MS,28,Hinds County,049,28049,2015,242.891,0.09,0.35,0.44,--,0.34,0.24,0.00,0.24,0.48,--,--,--,--,--,--,--,--
MS,28,Holmes County,051,28051,2015,18.340,37.17,1.96,39.13,--,30.27,24.11,0.00,27.02,51.13,--,--,--,--,--,--,--,--
MS,28,Humphreys County,053,28053,2015,8.669,85.51,4.50,90.01,--,68.91,25.75,0.00,56.98,82.73,--,--,--,--,--,--,--,--
MS,28,Issaquena County,055,28055,2015,1.337,32.96,1.74,34.70,--,26.51,5.45,0.00,14.21,19.66,--,--,--,--,--,--,--,--
MS,28,Itawamba County,057,28057,2015,23.609,0.00,0.04,0.04,--,0.03,0.04,0.00,0.00,0.04,--,--,--,--,--,--,--,--
MS,28,Jackson County,059,28059,2015,141.425,0.04,0.11,0.15,--,0.11,0.01,0.00,0.15,0.16,--,--,--,--,--,--,--,--
MS,28,Jasper County,061,28061,2015,16.569,0.00,0.03,0.03,--,0.02,0.04,0.00,0.00,0.04,--,--,--,--,--,--,--,--
MS,28,Jefferson County,063,28063,2015,7.507,0.52,0.00,0.52,--,0.42,0.56,0.00,0.00,0.56,--,--,--,--,--,--,--,--
MS,28,Jefferson Davis County,065,28065,2015,11.665,0.08,0.23,0.31,--,0.25,0.33,0.00,0.00,0.33,--,--,--,--,--,--,--,--
MS,28,Jones County,067,28067,2015,68.215,0.10,0.30,0.40,--,0.32,0.42,0.00,0.02,0.44,--,--,--,--,--,--,--,--
MS,28,Kemper County,069,28069,2015,9.969,0.03,0.09,0.12,--,0.10,0.13,0.00,0.00,0.13,--,--,--,--,--,--,--,--
MS,28,Lafayette County,071,28071,2015,53.154,0.00,0.60,0.60,--,0.48,0.64,0.00,0.00,0.64,--,--,--,--,--,--,--,--
MS,28,Lamar County,073,28073,2015,60.618,0.04,0.16,0.20,--,0.16,0.21,0.00,0.00,0.21,--,--,--,--,--,--,--,--
MS,28,Lauderdale County,075,28075,2015,78.524,0.03,0.08,0.11,--,0.09,0.11,0.00,0.00,0.11,--,--,--,--,--,--,--,--
MS,28,Lawrence County,077,28077,2015,12.622,0.58,0.14,0.72,--,0.57,0.69,0.00,0.09,0.78,--,--,--,--,--,--,--,--
MS,28,Leake County,079,28079,2015,22.763,0.04,0.06,0.10,--,0.08,0.10,0.00,0.00,0.10,--,--,--,--,--,--,--,--
MS,28,Lee County,081,28081,2015,85.300,0.00,0.34,0.34,--,0.27,0.37,0.00,0.00,0.37,--,--,--,--,--,--,--,--
MS,28,Leflore County,083,28083,2015,30.999,160.76,8.46,169.22,--,128.93,39.09,0.00,125.04,164.13,--,--,--,--,--,--,--,--
MS,28,Lincoln County,085,28085,2015,34.649,0.04,0.13,0.17,--,0.14,0.18,0.00,0.00,0.18,--,--,--,--,--,--,--,--
MS,28,Lowndes County,087,28087,2015,59.710,0.05,4.38,4.43,--,3.54,4.77,0.00,0.00,4.77,--,--,--,--,--,--,--,--
MS,28,Madison County,089,28089,2015,103.465,0.03,0.10,0.13,--,0.10,0.15,0.00,0.00,0.15,--,--,--,--,--,--,--,--
MS,28,Marion County,091,28091,2015,25.563,0.04,0.12,0.16,--,0.13,0.16,0.00,0.00,0.16,--,--,--,--,--,--,--,--
MS,28,Marshall County,093,28093,2015,35.916,0.00,3.24,3.24,--,2.59,3.49,0.00,0.00,3.49,--,--,--,--,--,--,--,--
MS,28,Monroe County,095,28095,2015,35.827,0.00,0.47,0.47,--,0.38,0.51,0.00,0.01,0.52,--,--,--,--,--,--,--,--
MS,28,Montgomery County,097,28097,2015,10.152,0.60,0.03,0.63,--,0.50,0.69,0.00,0.00,0.69,--,--,--,--,--,--,--,--
MS,28,Neshoba County,099,28099,2015,29.463,0.00,0.02,0.02,--,0.02,0.00,0.00,0.02,0.02,--,--,--,--,--,--,--,--
MS,28,Newton County,101,28101,2015,21.747,0.15,0.44,0.59,--,0.44,0.00,0.00,0.64,0.64,--,--,--,--,--,--,--,--
MS,28,Noxubee County,103,28103,2015,11.043,0.16,15.90,16.06,--,12.85,17.25,0.00,0.05,17.30,--,--,--,--,--,--,--,--
MS,28,Oktibbeha County,105,28105,2015,49.800,0.00,0.28,0.28,--,0.22,0.30,0.00,0.00,0.30,--,--,--,--,--,--,--,--
MS,28,Panola County,107,28107,2015,34.167,17.22,0.91,18.13,--,13.94,11.35,0.00,19.01,30.36,--,--,--,--,--,--,--,--
MS,28,Pearl River County,109,28109,2015,55.191,0.00,0.95,0.95,--,0.71,0.00,0.00,1.03,1.03,--,--,--,--,--,--,--,--
MS,28,Perry County,111,28111,2015,12.277,0.11,0.32,0.43,--,0.34,0.44,0.00,0.02,0.46,--,--,--,--,--,--,--,--
MS,28,Pike County,113,28113,2015,39.956,0.04,0.17,0.21,--,0.17,0.22,0.00,0.00,0.22,--,--,--,--,--,--,--,--
MS,28,Pontotoc County,115,28115,2015,30.908,0.00,1.78,1.78,--,1.39,1.15,0.00,0.77,1.92,--,--,--,--,--,--,--,--
MS,28,Prentiss County,117,28117,2015,25.459,0.00,0.01,0.01,--,0.01,0.02,0.00,0.00,0.02,--,--,--,--,--,--,--,--
MS,28,Quitman County,119,28119,2015,7.486,75.19,3.96,79.15,--,59.86,8.57,0.00,60.16,68.73,--,--,--,--,--,--,--,--
MS,28,Rankin County,121,28121,2015,149.039,0.01,0.03,0.04,--,0.03,0.04,0.00,0.00,0.04,--,--,--,--,--,--,--,--
MS,28,Scott County,123,28123,2015,28.265,0.01,0.05,0.06,--,0.04,0.00,0.00,0.07,0.07,--,--,--,--,--,--,--,--
MS,28,Sharkey County,125,28125,2015,4.585,65.41,3.44,68.85,--,52.30,11.73,0.00,49.30,61.03,--,--,--,--,--,--,--,--
MS,28,Simpson County,127,28127,2015,27.222,0.24,0.84,1.08,--,0.86,1.17,0.00,0.00,1.17,--,--,--,--,--,--,--,--
MS,28,Smith County,129,28129,2015,16.059,0.03,0.09,0.12,--,0.10,0.11,0.00,0.02,0.13,--,--,--,--,--,--,--,--
MS,28,Stone County,131,28131,2015,18.070,0.03,0.08,0.11,--,0.09,0.11,0.00,0.00,0.11,--,--,--,--,--,--,--,--
MS,28,Sunflower County,133,28133,2015,27.005,242.47,12.76,255.23,--,193.19,30.02,0.00,186.70,216.72,--,--,--,--,--,--,--,--
MS,28,Tallahatchie County,135,28135,2015,14.588,92.18,4.85,97.03,--,74.27,34.62,0.00,77.80,112.42,--,--,--,--,--,--,--,--
MS,28,Tate County,137,28137,2015,28.296,5.24,0.28,5.52,--,4.19,0.38,0.00,1.86,2.24,--,--,--,--,--,--,--,--
MS,28,Tippah County,139,28139,2015,22.131,0.00,0.23,0.23,--,0.18,0.25,0.00,0.00,0.25,--,--,--,--,--,--,--,--
MS,28,Tishomingo County,141,28141,2015,19.552,0.00,0.64,0.64,--,0.51,0.69,0.00,0.00,0.69,--,--,--,--,--,--,--,--
MS,28,Tunica County,143,28143,2015,10.343,91.13,4.80,95.93,--,73.08,23.94,0.00,77.46,101.40,--,--,--,--,--,--,--,--
MS,28,Union County,145,28145,2015,28.429,0.00,0.06,0.06,--,0.05,0.06,0.00,0.00,0.06,--,--,--,--,--,--,--,--
MS,28,Walthall County,147,28147,2015,14.638,0.03,0.03,0.06,--,0.05,0.06,0.00,0.00,0.06,--,--,--,--,--,--,--,--
MS,28,Warren County,149,28149,2015,47.485,4.33,0.24,4.57,--,3.64,4.55,0.00,0.38,4.93,--,--,--,--,--,--,--,--
MS,28,Washington County,151,28151,2015,48.130,229.31,12.07,241.38,--,182.47,26.25,0.00,194.68,220.93,--,--,--,--,--,--,--,--
MS,28,Wayne County,153,28153,2015,20.566,0.15,0.35,0.50,--,0.40,0.54,0.00,0.00,0.54,--,--,--,--,--,--,--,--
MS,28,Webster County,155,28155,2015,9.899,0.00,0.63,0.63,--,0.50,0.68,0.00,0.00,0.68,--,--,--,--,--,--,--,--
MS,28,Wilkinson County,157,28157,2015,9.122,0.11,0.34,0.45,--,0.34,0.15,0.00,0.34,0.49,--,--,--,--,--,--,--,--
MS,28,Winston County,159,28159,2015,18.317,0.00,0.05,0.05,--,0.04,0.05,0.00,0.00,0.05,--,--,--,--,--,--,--,--
MS,28,Yalobusha County,161,28161,2015,12.447,1.18,0.00,1.18,--,0.94,1.28,0.00,0.00,1.28,--,--,--,--,--,--,--,--
MS,28,Yazoo County,163,28163,2015,27.387,36.00,1.89,37.89,--,29.38,22.72,0.00,22.04,44.76,--,--,--,--,--,--,--,--
MO,29,Adair County,001,29001,2015,25.378,0.05,0.05,0.10,--,0.03,0.04,0.00,0.05,0.09,--,--,--,--,--,--,--,--
MO,29,Andrew County,003,29003,2015,17.296,0.17,0.17,0.34,--,0.12,0.12,0.01,0.16,0.29,--,--,--,--,--,--,--,--
MO,29,Atchison County,005,29005,2015,5.306,14.20,0.00,14.20,--,5.35,5.08,0.55,6.57,12.20,--,--,--,--,--,--,--,--
MO,29,Audrain County,007,29007,2015,26.096,3.39,14.20,17.59,--,6.75,6.30,0.69,8.14,15.13,--,--,--,--,--,--,--,--
MO,29,Barry County,009,29009,2015,35.829,0.43,0.00,0.43,--,0.08,0.15,0.02,0.20,0.37,--,--,--,--,--,--,--,--
MO,29,Barton County,011,29011,2015,11.880,12.00,0.96,12.96,--,2.67,4.64,0.51,6.00,11.15,--,--,--,--,--,--,--,--
MO,29,Bates County,013,29013,2015,16.446,1.28,1.28,2.56,--,0.58,0.91,0.10,1.18,2.19,--,--,--,--,--,--,--,--
MO,29,Benton County,015,29015,2015,18.670,0.82,0.00,0.82,--,0.15,0.29,0.03,0.38,0.70,--,--,--,--,--,--,--,--
MO,29,Bollinger County,017,29017,2015,12.182,3.93,3.93,7.86,--,0.93,2.81,0.31,3.64,6.76,--,--,--,--,--,--,--,--
MO,29,Boone County,019,29019,2015,174.974,6.15,0.00,6.15,--,1.37,2.20,0.24,2.84,5.28,--,--,--,--,--,--,--,--
MO,29,Buchanan County,021,29021,2015,89.100,0.52,0.00,0.52,--,0.15,0.18,0.02,0.24,0.44,--,--,--,--,--,--,--,--
MO,29,Butler County,023,29023,2015,42.951,142.96,0.83,143.79,--,33.66,51.49,5.61,66.53,123.63,--,--,--,--,--,--,--,--
MO,29,Caldwell County,025,29025,2015,9.014,0.06,0.06,0.12,--,0.03,0.04,0.00,0.05,0.09,--,--,--,--,--,--,--,--
MO,29,Callaway County,027,29027,2015,44.834,4.13,2.18,6.31,--,1.47,2.26,0.25,2.92,5.43,--,--,--,--,--,--,--,--
MO,29,Camden County,029,29029,2015,44.237,0.06,0.00,0.06,--,0.01,0.02,0.00,0.03,0.05,--,--,--,--,--,--,--,--
MO,29,Cape Girardeau County,031,29031,2015,78.572,13.48,0.00,13.48,--,2.21,4.83,0.53,6.24,11.60,--,--,--,--,--,--,--,--
MO,29,Carroll County,033,29033,2015,8.992,4.05,0.00,4.05,--,1.25,1.45,0.16,1.87,3.48,--,--,--,--,--,--,--,--
MO,29,Carter County,035,29035,2015,6.263,0.14,0.14,0.28,--,0.03,0.10,0.01,0.13,0.24,--,--,--,--,--,--,--,--
MO,29,Cass County,037,29037,2015,101.603,1.63,1.63,3.26,--,0.68,1.17,0.13,1.51,2.81,--,--,--,--,--,--,--,--
MO,29,Cedar County,039,29039,2015,13.934,0.01,0.67,0.68,--,0.08,0.25,0.03,0.32,0.60,--,--,--,--,--,--,--,--
MO,29,Chariton County,041,29041,2015,7.589,2.25,2.25,4.50,--,1.53,1.61,0.18,2.09,3.88,--,--,--,--,--,--,--,--
MO,29,Christian County,043,29043,2015,83.279,0.08,0.00,0.08,--,0.01,0.03,0.00,0.03,0.06,--,--,--,--,--,--,--,--
MO,29,Clark County,045,29045,2015,6.801,0.00,3.70,3.70,--,1.07,1.32,0.14,1.71,3.17,--,--,--,--,--,--,--,--
MO,29,Clay County,047,29047,2015,235.637,0.37,0.37,0.74,--,0.19,0.27,0.03,0.34,0.64,--,--,--,--,--,--,--,--
MO,29,Clinton County,049,29049,2015,20.609,0.17,0.17,0.34,--,0.11,0.12,0.01,0.16,0.29,--,--,--,--,--,--,--,--
MO,29,Cole County,051,29051,2015,76.720,0.50,0.50,1.00,--,0.18,0.36,0.04,0.46,0.86,--,--,--,--,--,--,--,--
MO,29,Cooper County,053,29053,2015,17.642,0.43,0.43,0.86,--,0.22,0.31,0.03,0.40,0.74,--,--,--,--,--,--,--,--
MO,29,Crawford County,055,29055,2015,24.526,0.02,0.02,0.04,--,0.00,0.01,0.00,0.01,0.02,--,--,--,--,--,--,--,--
MO,29,Dade County,057,29057,2015,7.595,3.14,4.45,7.59,--,1.58,2.71,0.30,3.51,6.52,--,--,--,--,--,--,--,--
MO,29,Dallas County,059,29059,2015,16.393,0.14,0.14,0.28,--,0.05,0.10,0.01,0.12,0.23,--,--,--,--,--,--,--,--
MO,29,Daviess County,061,29061,2015,8.253,0.08,0.08,0.16,--,0.05,0.06,0.01,0.07,0.14,--,--,--,--,--,--,--,--
MO,29,De Kalb County,063,29063,2015,12.687,0.01,0.01,0.02,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
